,question,link,answer
0,"

How to fix this?
Before (exactly what is needed):

After (what I get when formatting the code):

$response->assertOk()
->assertJson(fn(AssertableJson $json) =>
$json->has('data', fn($json) =>
$json->whereType('id', 'integer')
->whereType('created_at', 'string')
->whereType('updated_at', 'string')
->whereType('snils', 'string')
->has('passport', fn($json) =>
$json->whereType('id', 'integer')
->whereType('created_at', 'string')
->whereType('updated_at', 'string')
->whereType('series', 'string|null')
->whereType('number', 'string|null')
->whereType('lastName', 'string|null')
->whereType('firstName', 'string|null')
->whereType('middleName', 'string|null')
->whereType('gender', 'string|null')
->whereType('birthDate', 'string|null')
->whereType('request_data', 'array|null')
)
->whereType('request_data', 'array|null')
->etc()
)
);

added copy code
",https://stackoverflow.com/questions/73715535/phpstorm-code-style-align-function-parentheses,"
i found a solution to my problem

"
0,"

I am trying to have every argument of an annotation on a different line on eclipse. Currently I have this:
@Table(name = ""student"", uniqueConstraints = {
@UniqueConstraint(name = ""student_email_unique"", columnNames = ""email"")
})

what I would like to have is this:
@Table(
name = ""student"", 
uniqueConstraints = {
@UniqueConstraint(
name = ""student_email_unique"", 
columnNames = ""email""
)
}
)

",https://stackoverflow.com/questions/73608196/having-every-argument-of-an-annotation-on-a-different-line-on-eclipse,"
Prevent formatting as follows
// @formatter:off
@Table(
name = ""student"", 
uniqueConstraints = {
@UniqueConstraint(
name = ""student_email_unique"", 
columnNames = ""email""
)
}
)
// @formatter:on

"
0,"

Problem
The IDE I'm using for my Vue app (WebStorm) has stopped applying the Vue plugin. It will no longer suggest file paths or recognise the @ symbol replacing /src
Setup & Tried Solutions
Here is the current plugin:

Things I've tried:

Uninstalling the plugin and then re-installing
Uninstalling the IDE and then re-installing

But I still get errors like this:

Are there any additional steps I might be missing? Thanks

Solutions from comments
Thanks to @lena, the fix was simple. In the WebStorm IDE, I completed the following steps:
Preferences > Languages & Frameworks > Javascript > Webpack
And ensure that it is set to automatic, mine was set to Disabled.

",https://stackoverflow.com/questions/73576060/why-is-webstorms-vue-plugin-not-working-after-being-applied,"
Please make sure that Webpack support is enabled in Preferences > Languages & Frameworks > Javascript > Webpack, see https://www.jetbrains.com/help/webstorm/2022.2/using-webpack.html
"
0,"

Any idea how to switch off the contextual help that covers your code above the line you are working on? It also covers the auto-complete which is super annoying.

",https://stackoverflow.com/questions/65688883/new-apps-script-ide-too-helpful-can-you-turn-it-off,"
There is no user preference setting to disable contextual help in the new Apps Script code editor.
"
0,"

Until somewhat recently, using the ""Delete to Word End"" functionality in IntelliJ IDEA (macOS keyboard shortcut: ⌥⌦) would delete through the end of the current line as well as any leading whitespace on the next line before the first word:
Line 1
 Line 2

=>
Line1Line2

This changed within the last year or two to keep the leading whitespace from the next line:
Line 1
 Line 2

=>
Line1 Line2

I much prefer the previous behavior.While cleaning up code for readability, I'll often pull code that is split across multiple lines onto one line using this functionality.What was previously one set of keystrokes is now two (I need to use the ""Delete to Word End"" key combination twice).What's worse, if the next line happens to not have leading whitespace, I have to override the muscle memory and only type the shortcut once, or else I'll delete part or all of the code on the following line.
As a minimalistic yet realistic example, I might use this behavior to do the following code transformation:
List<String> myList = otherList.stream()
.map(this::aMethod)
.toList();

=>
List<String> myList = otherList.stream()
.map(this::aMethod).toList();

I don't know what version specifically the change occurred, but I have a version of IntelliJ IDEA from 2016 which has the old functionality, and one 2021 with the new functionality.I think the change happened in 2020 or 2021.
Is there a way to revert the behavior to the previous functionality (or perhaps an equivalent functionality under a different name)?
",https://stackoverflow.com/questions/73550521/can-i-restore-previous-intellij-idea-delete-to-word-end-behavior-to-delete-lea,"
While it's not exactly the same functionality, the Join Lines action (⌃⇧J on macOS) accomplishes the same goal in many cases.Regardless of where the caret is on the current line, it joins the current line to the next line, in context-sensitive ways.
For the given Java method call example, it has exactly the intended behavior of moving the method call to the current line without any spaces:
List<String> myList = otherList.stream()
.map(this::aMethod)
.toList();

=>
List<String> myList = otherList.stream()
.map(this::aMethod).toList();

For a concatenated Java string split over the two lines, it will remove the string concatenation operator, combining the two strings into one:
System.out.println(""A"" +
""B"");

=>
System.out.println(""AB"");

In a plain text file, it will combine the lines, with a single space before the non-space text of the second line:
Line 1
 Line 2

=>
Line 1 Line 2

"
0,"

I have a WordPress site, and I teach python on it and I want to share some code on it. I want a code editor that users can see my code and run it.
Please if you know any plugin that can do this help me.
",https://stackoverflow.com/questions/73510273/i-need-a-wordpress-plugin-that-can-create-an-ide-for-codes-to-run-on-my-website,"
I really do not think that there is such kind of a plugin available as of now. However, you can always search for such a plugin inside the official WordPress plugin repository.
Still, my recommendation would be to consider building your custom website ( not based on WordPress at all ) in order to achieve that using a different application or framework that has already developed a tool for that purpose.
"
0,"

I am working on a simple/scientific calculator in java, and I am having trouble putting this in a while loop so the user can continuously use the calculator. I've tried putting it in different places in the code, but it either repeats the input section or doesn't repeat anything. Any tips? Here is my code below:
static Scanner s1 = new Scanner(System.in);
public static void main(String[] args) {


System.out.println(""Welcome to my calculator:"");
String operator = """";
Scanner op = new Scanner(System.in);
System.out.println(""Type 1 if you wish to use the Standard calculator, 2 for the Scientific calculator, or QUIT if you wish to quit the program."");
operator = op.nextLine();
if (operator.equals(""1"")) {
System.out.println(standard());
}
if (operator.equals(""2"")) {
System.out.println(scientific());
}
if (operator.equals(""QUIT"")) {
System.out.print(""System quit"");

}
}
public static int standard() {
//The system will print 0 at the end to show that it's working
System.out.println(""Standard Calculator chosen."");
System.out.println(""Type 1 if you wish to use addition, 2 for subtraction, 3 for multiplication, 4 for exponent, 5 for division, or 6 for mod."");
int input2 = s1.nextInt();
int num1 = 0;
int num2 = 0;
//String loop = """";
switch (input2) {
case 1:
System.out.println(""(Add chosen) Please enter the first value: "");
num1 = s1.nextInt();
System.out.println(""Please enter the second value: "");
num2 = s1.nextInt();
System.out.println(""Addition - ("" + num1 + ""+"" + num2 + "") = "" + addExact(num1, num2));
break;
case 2:
System.out.println(""(Sub chosen) Please enter the first value: "");
num1 = s1.nextInt();
System.out.println(""Please enter the second value: "");
num2 = s1.nextInt();
System.out.println(""Subtration - ("" + num1 + ""-"" + num2 + "") = "" + subtractExact(num1, num2));
break;
case 3:
System.out.println(""(Multi chosen) Please enter the first value: "");
num1 = s1.nextInt();
System.out.println(""Please enter the second value: "");
num2 = s1.nextInt();
System.out.println(""Multiplication - ("" + num1 + ""*"" + num2 + "") = "" + multiplyExact(num1, num2));
break;
case 4:
System.out.println(""(Exp chosen) Please enter the first value: "");
num1 = s1.nextInt();
System.out.println(""Please enter the exponent: "");
num2 = s1.nextInt();
System.out.println(""Exponent - ("" + num1 + ""^"" + num2 + "") = "" + Math.pow(num1, num2));
break;
case 5:
System.out.println(""(Div chosen) Please enter the first value: "");
num1 = s1.nextInt();
System.out.println(""Please enter the second value: "");
num2 = s1.nextInt();
System.out.println(""Division - ("" + num1 + ""/"" + num2 + "") = "" + floorDiv(num1, num2));
break;
case 6:
System.out.println(""(Mod chosen) Please enter the first value: "");
num1 = s1.nextInt();
System.out.println(""Please enter the second value: "");
num2 = s1.nextInt();
System.out.println(""Mod - ("" + num1 + ""%"" + num2 + "") = "" + floorMod(num1, num2));
break;
}
return (0);
}
public static double scientific() {
//The system will print 0.0 at the end to show that it's working
System.out.println(""Scientific Calculator chosen."");
System.out.println(""Type 1 for sin, 2 for cos, 3 for tan, 4 for floor, 5 for ceil, 6 for square root, 7 for cube root, 8 for rounding, 9 for min, 10 for max."");
int input2 = s1.nextInt();
double val1 = 0.0;
double val2 = 0.0;
switch (input2) {
case 1:
System.out.println(""(Sin chosen) Please enter the value :"");
val1 = s1.nextDouble();
System.out.println(""Sin - ("" + val1 + "") = "" + sin(val1));
break;
case 2:
System.out.println(""(Cos chosen) Please enter the value :"");
val1 = s1.nextDouble();
System.out.println(""Cos - ("" + val1 + "") = "" + cos(val1));
break;
case 3:
System.out.println(""(Tan chosen) Please enter the value :"");
val1 = s1.nextDouble();
System.out.println(""Tan - ("" + val1 + "") = "" + tan(val1));
break;
case 4:
System.out.println(""(Floor chosen) Please enter the value :"");
val1 = s1.nextDouble();
System.out.println(""Floor - ("" + val1 + "") = "" + Math.floor(val1));
break;
case 5:
System.out.println(""(Ceil chosen) Please enter the value :"");
val1 = s1.nextDouble();
System.out.println(""Ceil - ("" + val1 + "") = "" + Math.ceil(val1));
break;
case 6:
System.out.println(""(Square root chosen) Please enter the value :"");
val1 = s1.nextDouble();
System.out.println(""Square root - ("" + val1 + "") = "" + sqrt(val1));
break;
case 7:
System.out.println(""(Cube root chosen) Please enter the value :"");
val1 = s1.nextDouble();
System.out.println(""Cube root - ("" + val1 + "") = "" + cbrt(val1));
break;
case 8:
System.out.println(""(Round chosen) Please enter the value :"");
val1 = s1.nextDouble();
System.out.println(""Round - ("" + val1 + "") = "" + round(val1));
break;
case 9:
System.out.println(""(Min chosen) Please enter the 1st value :"");
val1 = s1.nextDouble();
System.out.println(""Enter the 2nd value: "");
val2 = s1.nextDouble();
System.out.println(""Minimum - ("" + val1 + "","" + val2 + "") = "" + min(val1,val2));
break;
case 10:
System.out.println(""(Max chosen) Please enter the 1st value :"");
val1 = s1.nextDouble();
System.out.println(""Enter the 2nd value: "");
val2 = s1.nextDouble();
System.out.println(""Maximum - ("" + val1 + "","" + val2 + "") = "" + max(val1,val2));
break;
}
return val2;
}
}
}

",https://stackoverflow.com/questions/73007984/how-to-make-a-loop-for-this-script,"
You need to do something as follows, as you want to repeat all the process until the user choose to QUIT the calculator app:
public static void main(String[] args) {
System.out.println(""Welcome to my calculator:"");
String operator = """";

while (!operator.equals(""QUIT"")) {

Scanner op = new Scanner(System.in);
System.out.println(""Type 1 if you wish to use the Standard calculator, 2 for the Scientific calculator, or QUIT if you wish to quit the program."");
operator = op.nextLine();
if (operator.equals(""1"")) {
System.out.println(standard());
}
if (operator.equals(""2"")) {
System.out.println(scientific());
}
if (operator.equals(""QUIT"")) {
System.out.print(""System quit"");

}

}
}

output:
Welcome to my calculator:
Type 1 if you wish to use the Standard calculator, 2 for the Scientific calculator, or QUIT if you wish to quit the program.
1
Standard Calculator chosen.
Type 1 if you wish to use addition, 2 for subtraction, 3 for multiplication, 4 for exponent, 5 for division, or 6 for mod.
1
(Add chosen) Please enter the first value: 
1
Please enter the second value: 
2
Addition - (1+2) = 3
0
Type 1 if you wish to use the Standard calculator, 2 for the Scientific calculator, or QUIT if you wish to quit the program.


............................................................
Here's a solution for your ""main"" method that:

uses a ""while"" loop and a boolean value ""keepGoing"" to decide if it should loop again (or exit)
uses a ""switch"" statement to handle calling different functions based on input
if ""QUIT"" input, it sets ""keepGoing = false"" so that the ""while"" loop will exit
defines one Scanner, and names it clearly (""scanner"")
passes that single Scanner object to the methods which need it (standard and scientific)

Two other changes worth making:

remove the global static Scanner s1 – don't use global variables, it will lead to hard-to-find problems in your code
edit those method signatures to accept a Scanner parameter:
public static int standard(Scanner s1)`
public static double scientific(Scanner s1)



Here's the code:
Scanner scanner = new Scanner(System.in);
System.out.println(""Welcome to my calculator:"");

String prompt = ""Type 1 if you wish to use the Standard calculator, "" +
""2 for the Scientific calculator, or "" +
""QUIT if you wish to quit the program."";

boolean keepGoing = true;
while (keepGoing) {
System.out.println(prompt);
switch (scanner.nextLine()) {
case ""1"" -> System.out.println(standard(scanner));
case ""2"" -> System.out.println(scientific(scanner));
case ""QUIT"" -> {
System.out.print(""System quit"");
keepGoing = false; // this ejects from the while loop
}
}
}

"
0,"

I'm trying to setup local Windows eclipse for remote Linux development. I have encountered problem with eclipse not recognizing simple 'printf()' statement from <stdio.h>. I didn't find any helpful resources ATM to solve this problem, so wondering if you could help me with this.

Header files used from: Visual Studio Build Tools 2022, specifically I'm including this folder for stdio.h file: 'C:\Program Files (x86)\Windows Kits\10\Include\10.0.19041\ucrt'



GCC C++ Compiler as: ""C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\VC\Tools\Llvm\bin\clang.exe""


Eclipse IDE still highlights this as 'Function cannot be resolved':

I am not sure, but looks like 'printf' function is available at 'stdio.h':

Update:

Eclipse version used:

Using command line build is working as expected:

Program runs as expected:


So the questions are:
What needs to be done so eclipse would recognize 'printf'? e.g. Change MS Win Kits for another compiler header files? Or my eclipse configs are wrong?
If it is not possible for eclipse to recognize 'printf', is there an option to ignore all warnings on 'printf' (not highlight them)?
Let me know would you need anymore details from my side.
",https://stackoverflow.com/questions/72867903/eclipse-doesnt-recognize-printf-with-visual-studio-build-tools-2022-headers,"
After some investigation I think 'clang' is not compatible with eclipse & it's way easier to install & use 'cygwin' for such purposes.
Some references:
https://www.eclipse.org/forums/index.php/t/1092409/
https://www.eclipse.org/forums/index.php/t/1102938/
"
0,"

I am trying to navigate to previous page and click on a link using Selenium Ide. I tried
execute script history.back()
execute script window.history.go(-1)
Both the commands work, but am not able to click on the link that is available in the previous window.Don’t know where I am doing wrong
",https://stackoverflow.com/questions/72820986/how-to-navigate-to-previous-page-in-selenium-ide,"

WebDriver driver = new WebDriver();
.
.
.
driver.navigate().back();
driver.findElement(<locator>).click();

............................................................
In the command section, look for :

run script

And in the Target section, type :

window.history.go(-1)

"
0,"

Background: I am working with Angular (but my problem is not particular to any language or framework). In Angular, each component requires four separate files. So, we often find ourselves with 40+ files open. But, most of these files can be tiny, less than 20 lines each.
Many IDEs allow you to open your files in multiple windows. Each window can have a different panel, and each panel can have different tabs. This is great, but honestly, still isn't enough.
What I want: In addition to windows, panels, and tabs, I'd like to add another level of organization.
I speculate this has probably existed for decades, but I just don't know what it's called. At the very least, I speculate this has existed at least since Angular was a thing.
For example, here is a screenshot of VSCode with four files open across four panels. (Code taken from Angular dynamic component tutorial):

And here is a quick mockup showing what I'm looking for. Four files are open, but the three shortest ones are ""concatenated"" into one editor. Arrow-key down from the bottom of one file will bring you to the first line of the next file.

Notably, these files are not actually concatenated on-disk.
TLDR: What text editor can allow me to edit multiple files as if they were concatenated, as in the mockup above?
",https://stackoverflow.com/questions/72778854/edit-files-as-if-concatenated-as-one-do-any-ides-or-text-editors-have-this-fe,"
If the files stay as separate windows/tabs, the file editor would have to shrink each tab to a minimal height, and then tile them vertically. If any editor can do it, I suspect it would be emacs or vim. You might also be able to do it by opening separate editor windows and using a tiling window manager.
We can achieve a similar effect with some text editing magic. It would be something like:

Add a header to each file consisting of a unique separator (e.g. # === magic separator === filename my_file.js ===)
Use cat to combine all the files into one file
Edit this one file
When done, use the separator to break them up and put the text back into the original files

You could easily write some scripts for combining and splitting so you can do it quickly. You can also set up a background script that automatically runs the splitter as you edit the combined file. However, the combined file would essentially be a new file, so you could not view changes on it with git, and VS Code's CodeLens/Inline blame wouldn't work.
One option would be to develop your codebase with the combined files checked in to VCS, and then only have the splitter script as part of your ""build"" step. So you would make your changes, run ./build.sh which splits the files into some temp directory, and then run your application from there.
Lastly, and I hate to be snide, but the fact is that this problem is best solved by avoiding poorly designed frameworks that do not consider developer ergonomics. Many other languages give the developer much freedom and many tools to organize their code as they wish, rather than imposing constraints like requiring many small components to be in separate files. Java for example also had a similar problem (dunno if more recent versions fixed it) - you can only have one class per file, which creates a huge mess if you like having many small files. C# does not have this limitation and as a result C# codebases can be much tidier than Java codebases.
"
0,"


IntelliJ IDEA. It is info menu (when you stop cursor on class name). How to enable view full location of class (file)? Example: Oleg_Library.main.java.src.mypackage.Test
",https://stackoverflow.com/questions/71412750/how-to-enable-view-full-location-of-class-file-in-info-menu-intellij-idea,"
It's not possible afaik. But you can create a feature request for it in https://youtrack.jetbrains.com/issues/IDEA
"
0,"

I've created a TypeScript library. It has an src directory with .ts files and dist/esm directory, where all .ts file are converted into .js, .js.map and .d.ts files. The library is working, it has typings but there are some problems with the development process.
In the IDE (I use Webstorm) when I click to the component from my library I'd like to open a source file from src directory. But instead I open a typings declaration file (.d.ts).
I've found out that when I add to the .d.ts file a link to a source map like so:
/// <reference types=""react"" />
import './styles/Button.scss';
export declare const Button: () => JSX.Element;
// The line below has been added
//# sourceMappingURL=Button.js.map

the IDE starts automatically open needed file from src directory.
And I'd like to know is it a correct way to open files from source directory of a library?
If it is, how can I automatically add these lines in every .d.ts files using Rollup?
If it's not, could you please describe how to do it in the correct way?
",https://stackoverflow.com/questions/71305796/how-to-set-sourse-map-for-d-ts-files,"
Suddenly I found out that there's a special field in tsconfig.json:
{
""compilerOptions"": {
// ...
declarationMap: true
}
}

And now it works.
"
0,"

I've got the following code
class Test {
name = 'David';
static var1 = 'John';
printName() {
console.log(this.name);
}
static staticMethod() {
console.log('This is a static method');
}
}
const test = new Test();
test.printName();
Test.staticMethod();
console.log(Test.var1);

It works fine on VSC with live server and also when running it on node, but I get syntax errors when running it on online IDEs such as jsfiddle or programiz.I was wondering if anybody knows why that is?
",https://stackoverflow.com/questions/72555038/getting-js-syntax-errors-on-online-ide-but-not-on-vsc-or-node,"
Turns out it's a known bug in jsfiddle.I guess other online ides must use the same parsing library.
https://github.com/jsfiddle/jsfiddle-issues/issues/1744
"
0,"

I updated Eclipse IDE from 2021-12 to 2022-03 recently and I found out that the shortcut for rename/refactor alt-shift-r was removed.
Is this a bug and will be fixed later? Was this removed on purpose?
This was a very useful keyboard shortcut and I don't understand the 'why?' this was removed.

UPDATE:
This happened to me in Windows 10 and Ubuntu 20
Right click in a variable -> Refactor -> Rename... does not have a key binding anymore

Preferences: General -> Keys -> search: rename

",https://stackoverflow.com/questions/71675190/eclipse-keyboard-shortcut-for-rename-refactor-is-unbinded-in-2022-03,"
The culprit was my lombok installation.
This bug happens when using Eclipse 2022-03 and lombok 1.18.22 or lower.
To fix this I needed to remove lombok. I did this by:

deleting the ""lombok.jar"" file in the eclipse installation folder 
and by updated the ""eclipse.ini"" file in the same folder and deleting this line 
-javaagent:C:\Users\my-user\eclipse\latest\eclipse\lombok.jar

Then I installed lombok-1.18.23.
To this date this release is not available in the Download page of lombok as a stable-release.
You can get it from here https://projectlombok.org/download-edge
Thanks to Holger Voormann youtube channel for the answer.
This issue is followed here https://github.com/projectlombok/lombok/issues/3134
"
